#id	idGo	name	namespace	definition
RF00016	0006396	RNA processing
RF00016	0005730	nucleolus
RF00049	0006396	RNA processing
RF00049	0005730	nucleolus
RF00113	0003729	mRNA binding
RF00139	0006396	RNA processing
RF00139	0005730	nucleolus
RF00152	0006396	RNA processing
RF00152	0005730	nucleolus
RF00204	0006396	RNA processing
RF00204	0005730	nucleolus
RF00231	0006396	RNA processing
RF00231	0015030	Cajal body
RF00231	0005730	nucleolus
RF00265	0006396	RNA processing
RF00265	0005730	nucleolus
RF00268	0006396	RNA processing
RF00268	0005730	nucleolus
RF00281	0006396	RNA processing
RF00281	0005730	nucleolus
RF00303	0006396	RNA processing
RF00303	0005730	nucleolus
RF00311	0006396	RNA processing
RF00311	0005730	nucleolus
RF00396	0006396	RNA processing
RF00396	0005730	nucleolus
RF00451	0035195	gene silencing by miRNA
RF00451	0035068	micro-ribonucleoprotein complex
RF00514	0000105	histidine biosynthetic process
RF00591	0006396	RNA processing
RF00591	0005730	nucleolus
RF00592	0006396	RNA processing
RF00592	0005730	nucleolus
RF01159	0006396	RNA processing
RF01159	0005730	nucleolus
RF01165	0006396	RNA processing
RF01165	0005730	nucleolus
RF01179	0006396	RNA processing
RF01179	0005730	nucleolus
RF01215	0006396	RNA processing
RF01215	0005730	nucleolus
RF01226	0006396	RNA processing
RF01226	0005730	nucleolus
RF01436	0006396	RNA processing
RF01436	0005730	nucleolus
RF01543	0006396	RNA processing
RF01543	0005730	nucleolus
RF01588	0006396	RNA processing
RF01588	0005730	nucleolus
RF01597	0006396	RNA processing
RF01597	0005730	nucleolus
RF01648	0006396	RNA processing
RF01648	0005730	nucleolus
RF01947	0006342	chromatin silencing
RF01947	0005730	nucleolus
RF01954	0007275	multicellular organismal development
RF01957	0042382	paraspeckles
RF01957	0005515	protein binding
RF02125	0010628	positive regulation of gene expression
RF01997	0035068	micro-ribonucleoprotein complex
RF01997	0035195	gene silencing by miRNA
RF00608	0006396	RNA processing
RF00608	0005730	nucleolus
RF00614	0006396	RNA processing
RF00614	0005730	nucleolus
RF00644	0035068	micro-ribonucleoprotein complex
RF00644	0035195	gene silencing by miRNA
RF00665	0035068	micro-ribonucleoprotein complex
RF00665	0035195	gene silencing by miRNA
RF00710	0035068	micro-ribonucleoprotein complex
RF00710	0035195	gene silencing by miRNA
RF00714	0035068	micro-ribonucleoprotein complex
RF00714	0035195	gene silencing by miRNA
RF00791	0035068	micro-ribonucleoprotein complex
RF00791	0035195	gene silencing by miRNA
RF00819	0035068	micro-ribonucleoprotein complex
RF00819	0035195	gene silencing by miRNA
RF00827	0035068	micro-ribonucleoprotein complex
RF00827	0035195	gene silencing by miRNA
RF00843	0035068	micro-ribonucleoprotein complex
RF00843	0035195	gene silencing by miRNA
RF00855	0035068	micro-ribonucleoprotein complex
RF00855	0035195	gene silencing by miRNA
RF00888	0035068	micro-ribonucleoprotein complex
RF00888	0035195	gene silencing by miRNA
RF00891	0035068	micro-ribonucleoprotein complex
RF00891	0035195	gene silencing by miRNA
RF00934	0035068	micro-ribonucleoprotein complex
RF00934	0035195	gene silencing by miRNA
RF00969	0035068	micro-ribonucleoprotein complex
RF00969	0035195	gene silencing by miRNA
RF01020	0035068	micro-ribonucleoprotein complex
RF01020	0035195	gene silencing by miRNA
RF01218	0006396	RNA processing
RF01218	0005730	nucleolus
RF01239	0006396	RNA processing
RF01239	0005730	nucleolus
RF01903	0035068	micro-ribonucleoprotein complex
RF01903	0035195	gene silencing by miRNA
RF02023	0035068	micro-ribonucleoprotein complex
RF02023	0035195	gene silencing by miRNA
RF00001	0003735	structural constituent of ribosome
RF00001	0005840	ribosome
RF00002	0003735	structural constituent of ribosome
RF00002	0005840	ribosome
RF00003	0030627	pre-mRNA 5'-splice site binding
RF00003	0005685	U1 snRNP
RF00004	0045131	pre-mRNA branch point binding
RF00004	0005686	U2 snRNP
RF00005	0030533	triplet codon-amino acid adaptor activity
RF00007	0045131	pre-mRNA branch point binding
RF00007	0005693	U12 snRNP
RF00009	0008033	tRNA processing
RF00009	0004526	ribonuclease P activity
RF00009	0030677	ribonuclease P complex
RF00010	0008033	tRNA processing
RF00010	0004526	ribonuclease P activity
RF00010	0030680	dimeric ribonuclease P complex
RF00011	0008033	tRNA processing
RF00011	0004526	ribonuclease P activity
RF00011	0030680	dimeric ribonuclease P complex
RF00012	0006396	RNA processing
RF00012	0005730	nucleolus
RF00015	0000353	formation of quadruple SL/U4/U5/U6 snRNP
RF00015	0017070	U6 snRNA binding
RF00015	0005687	U4 snRNP
RF00015	0046540	U4/U6 x U5 tri-snRNP complex
RF00017	0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition
RF00017	0005786	signal recognition particle, endoplasmic reticulum targeting
